bla,x,y,z
0,20,18,0
1,20,29,0
2,21,439,0
3,21,450,0
4,25,18,0
5,25,29,0
6,26,131,0
7,26,136,0
8,26,141,0
9,26,146,0
10,26,151,0
11,26,156,0
12,26,161,0
13,26,166,0
14,26,171,0
15,26,176,0
16,26,181,0
17,26,186,0
18,26,191,0
19,26,196,0
20,26,201,0
21,26,206,0
22,26,211,0
23,26,216,0
24,26,221,0
25,26,226,0
26,26,231,0
27,26,439,0
28,26,450,0
29,27,236,0
30,28,125,0
31,29,242,0
32,30,18,0
33,30,29,0
34,31,120,0
35,31,439,0
36,31,450,0
37,33,247,0
38,35,18,0
39,35,29,0
40,35,115,0
41,36,439,0
42,36,450,0
43,37,131,0
44,37,136,0
45,37,141,0
46,37,146,0
47,37,151,0
48,37,156,0
49,37,161,0
50,37,166,0
51,37,171,0
52,37,176,0
53,37,181,0
54,37,186,0
55,37,191,0
56,37,196,0
57,37,201,0
58,37,206,0
59,37,211,0
60,37,216,0
61,37,221,0
62,37,226,0
63,37,231,0
64,38,236,0
65,39,249,0
66,40,18,0
67,40,29,0
68,40,112,0
69,40,126,0
70,41,439,0
71,41,450,0
72,43,238,0
73,45,18,0
74,45,29,0
75,45,109,0
76,45,121,0
77,45,251,0
78,46,439,0
79,46,450,0
80,48,240,0
81,50,18,0
82,50,29,0
83,50,108,0
84,50,119,0
85,50,254,0
86,51,439,0
87,51,450,0
88,53,242,0
89,53,259,0
90,54,266,0
91,54,272,0
92,55,18,0
93,55,29,0
94,55,108,0
95,55,119,0
96,55,279,0
97,56,439,0
98,56,450,0
99,58,244,0
100,58,285,0
101,60,18,0
102,60,29,0
103,60,108,0
104,60,119,0
105,61,439,0
106,61,450,0
107,63,249,0
108,63,288,0
109,64,254,0
110,65,18,0
111,65,29,0
112,65,108,0
113,65,119,0
114,65,259,0
115,65,264,0
116,65,269,0
117,66,274,0
118,66,439,0
119,66,450,0
120,69,278,0
121,69,292,0
122,70,18,0
123,70,29,0
124,70,108,0
125,70,119,0
126,71,439,0
127,71,450,0
128,72,281,0
129,73,295,0
130,75,18,0
131,75,29,0
132,75,108,0
133,75,119,0
134,76,439,0
135,76,450,0
136,77,283,0
137,79,297,0
138,80,18,0
139,80,29,0
140,80,108,0
141,80,119,0
142,81,439,0
143,81,450,0
144,82,285,0
145,85,18,0
146,85,29,0
147,85,108,0
148,85,119,0
149,86,300,0
150,86,439,0
151,86,450,0
152,87,287,0
153,90,18,0
154,90,29,0
155,90,108,0
156,90,119,0
157,90,305,0
158,90,312,0
159,91,318,0
160,91,439,0
161,91,450,0
162,92,289,0
163,92,323,0
164,95,18,0
165,95,29,0
166,95,108,0
167,95,119,0
168,95,328,0
169,96,439,0
170,96,450,0
171,97,293,0
172,100,18,0
173,100,29,0
174,100,108,0
175,100,119,0
176,100,331,0
177,101,298,0
178,101,303,0
179,101,308,0
180,101,439,0
181,101,450,0
182,102,313,0
183,103,318,0
184,105,18,0
185,105,29,0
186,105,108,0
187,105,119,0
188,106,322,0
189,106,334,0
190,106,439,0
191,106,450,0
192,110,18,0
193,110,29,0
194,110,108,0
195,110,119,0
196,111,325,0
197,111,336,0
198,111,439,0
199,111,450,0
200,115,18,0
201,115,29,0
202,115,108,0
203,115,119,0
204,116,326,0
205,116,337,0
206,116,439,0
207,116,450,0
208,120,18,0
209,120,29,0
210,120,108,0
211,120,119,0
212,121,328,0
213,121,339,0
214,121,439,0
215,121,450,0
216,125,18,0
217,125,29,0
218,125,108,0
219,125,119,0
220,126,330,0
221,126,344,0
222,126,439,0
223,126,450,0
224,127,350,0
225,129,355,0
226,130,18,0
227,130,29,0
228,130,108,0
229,130,119,0
230,130,361,0
231,131,333,0
232,131,439,0
233,131,450,0
234,134,367,0
235,135,18,0
236,135,29,0
237,135,108,0
238,135,119,0
239,135,337,0
240,136,439,0
241,136,450,0
242,137,342,0
243,138,347,0
244,139,352,0
245,140,18,0
246,140,29,0
247,140,108,0
248,140,119,0
249,140,357,0
250,140,369,0
251,141,439,0
252,141,450,0
253,145,18,0
254,145,29,0
255,145,108,0
256,145,119,0
257,145,359,0
258,145,370,0
259,146,439,0
260,146,450,0
261,150,18,0
262,150,29,0
263,150,108,0
264,150,119,0
265,150,360,0
266,150,371,0
267,151,439,0
268,151,450,0
269,155,18,0
270,155,29,0
271,155,108,0
272,155,119,0
273,155,360,0
274,155,371,0
275,156,439,0
276,156,450,0
277,160,18,0
278,160,29,0
279,160,108,0
280,160,119,0
281,160,361,0
282,160,372,0
283,161,439,0
284,161,450,0
285,165,18,0
286,165,29,0
287,165,108,0
288,165,119,0
289,165,361,0
290,165,372,0
291,166,439,0
292,166,450,0
293,170,18,0
294,170,29,0
295,170,108,0
296,170,119,0
297,170,361,0
298,170,372,0
299,171,439,0
300,171,450,0
301,175,18,0
302,175,29,0
303,175,108,0
304,175,119,0
305,175,362,0
306,175,373,0
307,176,439,0
308,176,450,0
309,180,18,0
310,180,29,0
311,180,108,0
312,180,119,0
313,180,363,0
314,180,374,0
315,181,439,0
316,181,450,0
317,185,18,0
318,185,29,0
319,185,108,0
320,185,119,0
321,185,364,0
322,185,375,0
323,186,439,0
324,186,450,0
325,190,18,0
326,190,29,0
327,190,108,0
328,190,119,0
329,190,365,0
330,190,376,0
331,191,439,0
332,191,450,0
333,195,18,0
334,195,29,0
335,195,108,0
336,195,119,0
337,195,367,0
338,195,378,0
339,196,437,0
340,196,449,0
341,200,18,0
342,200,29,0
343,200,108,0
344,200,119,0
345,200,368,0
346,201,380,0
347,201,434,0
348,201,448,0
349,205,18,0
350,205,29,0
351,205,108,0
352,205,119,0
353,205,370,0
354,205,385,0
355,206,430,0
356,206,446,0
357,209,373,0
358,209,390,0
359,209,443,0
360,210,18,0
361,210,29,0
362,210,108,0
363,210,119,0
364,210,425,0
365,211,395,0
366,213,376,0
367,213,400,0
368,213,420,0
369,213,439,0
370,214,405,0
371,214,410,0
372,214,415,0
